абайя абайя noun:inanim:f:v_naz:ua_1992
актор актор noun:anim:m:v_naz
акула акула noun:anim:f:v_naz
акциз акциз noun:inanim:m:v_naz
акція акція noun:inanim:f:v_naz
алгол алгол noun:inanim:m:v_naz
алель алель noun:inanim:m:v_naz
алеут алеут noun:anim:m:v_naz
алича алича noun:inanim:f:v_naz
алібі алібі noun:inanim:n:v_naz:nv
алкан алкан noun:inanim:m:v_naz
алкен алкен noun:inanim:m:v_naz
алкіл алкіл noun:inanim:m:v_naz
алкін алкін noun:inanim:m:v_naz
аллах аллах noun:anim:m:v_naz
алмаз алмаз noun:inanim:m:v_naz
алоза алоза noun:anim:f:v_naz
алонж алонж noun:inanim:m:v_naz
алтей алтей noun:inanim:m:v_naz
алтея алтея noun:inanim:f:v_naz
алтин алтин noun:inanim:m:v_naz
алунд алунд noun:inanim:m:v_naz
альба альба noun:inanim:f:v_naz
альфа альфа noun:inanim:f:v_naz
алярм алярм noun:inanim:m:v_naz
амант амант noun:anim:m:v_naz
амбар амбар noun:inanim:m:v_naz
амбра амбра noun:inanim:f:v_naz
амбре амбре noun:inanim:n:v_naz:nv
амвон амвон noun:inanim:m:v_naz
амеба амеба noun:anim:f:v_naz
аміак аміак noun:inanim:m:v_naz
амінь амінь noun:inanim:n:v_naz:nv
амінь амінь part
ампер ампер noun:inanim:m:v_naz
ампір ампір noun:inanim:m:v_naz
ампль ампль noun:inanim:m:v_naz
амури амури noun:inanim:p:v_naz:ns
анаша анаша noun:inanim:f:v_naz
ангар ангар noun:inanim:m:v_naz
ангел ангел noun:anim:m:v_naz
англи англи noun:anim:p:v_naz:ns
ангоб ангоб noun:inanim:m:v_naz
анзац анзац noun:inanim:m:v_naz
аніде аніде adv:&pron:neg
аніже аніже adv
аніма аніма noun:inanim:f:v_naz
аніме аніме noun:inanim:n:v_naz:nv
аніон аніон noun:inanim:m:v_naz
аніщо аніщо noun:inanim:n:v_naz:&pron:neg
аніяк аніяк adv
анкер анкер noun:inanim:m:v_naz
анонс анонс noun:inanim:m:v_naz
антик антик noun:inanim:m:v_naz
антре антре noun:inanim:n:v_naz:nv
антьє антьє noun:inanim:f:v_naz:nv
анфас анфас adv
анчар анчар noun:inanim:m:v_naz
аорта аорта noun:inanim:f:v_naz
апарт апарт noun:inanim:m:v_naz
апачі апачі noun:anim:p:v_naz:ns
апекс апекс noun:inanim:m:v_naz
апель апель noun:inanim:m:v_naz
аплет аплет noun:inanim:m:v_naz
апное апное noun:inanim:n:v_naz:nv
апорт апорт noun:inanim:m:v_naz
апрет апрет noun:inanim:m:v_naz
апрош апрош noun:inanim:m:v_naz
арара арара noun:anim:m:v_naz:nv
аргат аргат noun:anim:m:v_naz
аргон аргон noun:inanim:m:v_naz
аргус аргус noun:anim:m:v_naz
аргус аргус noun:inanim:m:v_naz
арден арден noun:inanim:m:v_naz
ареал ареал noun:inanim:m:v_naz
арена арена noun:inanim:f:v_naz
арешт арешт noun:inanim:m:v_naz
аркан аркан noun:inanim:m:v_naz
аркуш аркуш noun:inanim:m:v_naz
армія армія noun:inanim:f:v_naz
арсен арсен noun:inanim:m:v_naz
арсин арсин noun:inanim:m:v_naz
архар архар noun:anim:m:v_naz
археї археї noun:unanim:p:v_naz:ns
архів архів noun:inanim:m:v_naz
аршин аршин noun:inanim:m:v_naz
асана асана noun:inanim:f:v_naz
аскер аскер noun:anim:m:v_naz
аскет аскет noun:anim:m:v_naz
аспид аспид noun:anim:m:v_naz
аспід аспід noun:anim:m:v_naz
аспід аспід noun:inanim:m:v_naz
астат астат noun:inanim:m:v_naz
астма астма noun:inanim:f:v_naz
асура асура noun:anim:f:v_naz
асцит асцит noun:inanim:m:v_naz
атака атака noun:inanim:f:v_naz
аташе аташе noun:anim:m:v_naz:nv
атлас атлас noun:inanim:m:v_naz
атлет атлет noun:anim:m:v_naz
аттик аттик noun:inanim:m:v_naz
аудит аудит noun:inanim:m:v_naz
аудіо аудіо noun:inanim:n:v_naz:nv
аурум аурум noun:inanim:m:v_naz
афект афект noun:inanim:m:v_naz
афера афера noun:inanim:f:v_naz
афікс афікс noun:inanim:m:v_naz
афіша афіша noun:inanim:f:v_naz
ахати ахати verb:imperf:inf
ацтек ацтек noun:anim:m:v_naz
ачолі ачолі noun:inanim:f:v_naz:nv
ашрам ашрам noun:inanim:m:v_naz
аякже аякже part
бабай бабай noun:anim:m:v_naz
бабак бабак noun:anim:m:v_naz
бабин бабин adj:m:v_naz
бабич бабич noun:anim:m:v_naz
бабій бабій noun:anim:m:v_naz
бабіт бабіт noun:inanim:m:v_naz
бабка бабка noun:anim:f:v_naz
бабка бабка noun:inanim:f:v_naz
бабця бабця noun:anim:f:v_naz
багаж багаж noun:inanim:m:v_naz
багач багач noun:anim:m:v_naz
багер багер noun:inanim:m:v_naz
багет багет noun:inanim:m:v_naz
багно багно noun:inanim:n:v_naz
багор багор noun:inanim:m:v_naz
баґґі баґґі noun:inanim:m:v_naz:nv
бадан бадан noun:inanim:m:v_naz
баддя баддя noun:inanim:f:v_naz
базар базар noun:inanim:m:v_naz
базис базис noun:inanim:m:v_naz
байда байда noun:anim:m:v_naz
байда байда noun:anim:f:v_naz
байка байка noun:inanim:f:v_naz
бакан бакан noun:inanim:m:v_naz
бакен бакен noun:inanim:m:v_naz
бакир бакир noun:inanim:m:v_naz
бакун бакун noun:inanim:m:v_naz
балан балан noun:inanim:m:v_naz
балас балас noun:inanim:m:v_naz
балет балет noun:inanim:m:v_naz
балик балик noun:inanim:m:v_naz
балія балія noun:inanim:f:v_naz
балка балка noun:inanim:f:v_naz
балон балон noun:inanim:m:v_naz
балти балти noun:anim:p:v_naz:ns
бальї бальї noun:anim:m:v_naz:nv
бамія бамія noun:inanim:f:v_naz
банан банан noun:inanim:m:v_naz
банда банда noun:inanim:f:v_naz
бандо бандо noun:inanim:n:v_naz:nv
банер банер noun:inanim:m:v_naz
банка банка noun:inanim:f:v_naz
банко банко noun:inanim:n:v_naz:nv
банош банош noun:inanim:m:v_naz
банта банта noun:inanim:f:v_naz
банту банту noun:anim:m:v_naz:nv
банту банту noun:anim:f:v_naz:nv
банту банту noun:inanim:f:v_naz:nv
бануш бануш noun:inanim:m:v_naz
баняк баняк noun:inanim:m:v_naz
бараж бараж noun:inanim:m:v_naz
барак барак noun:inanim:m:v_naz
баран баран noun:anim:m:v_naz
баран баран noun:inanim:m:v_naz
барба барба noun:inanim:f:v_naz
барва барва noun:inanim:f:v_naz
барда барда noun:inanim:f:v_naz
бареж бареж noun:inanim:m:v_naz
баржа баржа noun:inanim:f:v_naz
барит барит noun:inanim:m:v_naz
бариш бариш noun:inanim:m:v_naz
барій барій noun:inanim:m:v_naz
барка барка noun:inanim:f:v_naz
барок барок noun:inanim:m:v_naz
барон барон noun:anim:m:v_naz
басет басет noun:anim:m:v_naz
баско баско adv
басма басма noun:inanim:f:v_naz
басок басок noun:inanim:m:v_naz
басон басон noun:inanim:m:v_naz
бастр бастр noun:inanim:m:v_naz
батак батак noun:anim:m:v_naz
батак батак noun:inanim:f:v_naz:nv
батат батат noun:inanim:m:v_naz
батик батик noun:inanim:m:v_naz
батир батир noun:anim:m:v_naz
батіг батіг noun:inanim:m:v_naz
батон батон noun:inanim:m:v_naz
батут батут noun:inanim:m:v_naz
батяр батяр noun:anim:m:v_naz
бахаї бахаї noun:anim:p:v_naz:ns
бахур бахур noun:anim:m:v_naz
бахші бахші noun:anim:m:v_naz:nv
бачно бачно adv
бачок бачок noun:inanim:m:v_naz
башта башта noun:inanim:f:v_naz
баюра баюра noun:inanim:f:v_naz
баяті баяті noun:inanim:f:v_naz:nv
бгати бгати verb:imperf:inf
бебех бебех onomat:&predic
бевзь бевзь noun:anim:m:v_naz
беґас беґас noun:anim:m:v_naz
беджа беджа noun:inanim:f:v_naz:nv
безум безум noun:inanim:m:v_naz
безус безус noun:anim:m:v_naz
бейбі бейбі noninfl
бейза бейза noun:inanim:f:v_naz
бекар бекар noun:inanim:m:v_naz
бекас бекас noun:anim:m:v_naz
бекет бекет noun:inanim:m:v_naz
бекон бекон noun:inanim:m:v_naz
бемба бемба noun:inanim:f:v_naz:nv
беміт беміт noun:inanim:m:v_naz
бенді бенді noun:inanim:m:v_naz:nv
бенто бенто noun:inanim:m:v_naz:nv
бердо бердо noun:inanim:n:v_naz
берег берег noun:inanim:m:v_naz
берет берет noun:inanim:m:v_naz
берил берил noun:inanim:m:v_naz
берло берло noun:inanim:n:v_naz
берма берма noun:inanim:f:v_naz
берці берці noun:inanim:p:v_naz:ns
бетон бетон noun:inanim:m:v_naz
бздур бздур noun:inanim:m:v_naz
бидло бидло noun:inanim:n:v_naz
бидля бидля noun:anim:n:v_naz
билля билля noun:inanim:n:v_naz
бинда бинда noun:inanim:f:v_naz
бирка бирка noun:inanim:f:v_naz
бирса бирса noun:inanim:f:v_naz
бирфа бирфа noun:inanim:f:v_naz
битва битва noun:inanim:f:v_naz
битий битий adj:m:v_naz:&adjp:pasv:imperf
битка битка noun:inanim:f:v_naz
биття биття noun:inanim:n:v_naz
битюг битюг noun:anim:m:v_naz
битюк битюк noun:anim:m:v_naz
бичий бичий adj:m:v_naz
бичок бичок noun:anim:m:v_naz
бичок бичок noun:inanim:m:v_naz
бишак бишак noun:anim:m:v_naz
біакс біакс noun:inanim:m:v_naz
бібоп бібоп noun:inanim:m:v_naz
бівак бівак noun:inanim:m:v_naz
бігль бігль noun:anim:m:v_naz
бігма бігма adv
бігом бігом adv
бігос бігос noun:inanim:m:v_naz
бігти бігти verb:imperf:inf
бігун бігун noun:anim:m:v_naz
бігун бігун noun:inanim:m:v_naz
бігус бігус noun:inanim:m:v_naz
біґос біґос noun:inanim:m:v_naz
бідак бідак noun:anim:m:v_naz
бідар бідар noun:anim:m:v_naz
бідка бідка noun:inanim:f:v_naz
бідна бідний noun:anim:f:v_naz
бідно бідно adv:compb
бідон бідон noun:inanim:m:v_naz
бізон бізон noun:anim:m:v_naz
бійка бійка noun:inanim:f:v_naz
бійня бійня noun:inanim:f:v_naz
білан білан noun:anim:m:v_naz
білет білет noun:inanim:m:v_naz
білий білий adj:m:v_naz:compb
білик білик noun:anim:m:v_naz
біліш біліше adv:compc:&predic:short
білка білка noun:anim:f:v_naz
білль білль noun:inanim:m:v_naz
білок білок noun:inanim:m:v_naz
білон білон noun:inanim:m:v_naz:xp1
білон білон noun:inanim:m:v_naz:xp2
більш більше adv:compc:short
біляк біляк noun:anim:m:v_naz
біляк біляк noun:inanim:m:v_naz
біляш біляш noun:inanim:m:v_naz
бінго бінго noun:inanim:n:v_naz:nv
біном біном noun:inanim:m:v_naz
біонт біонт noun:anim:m:v_naz
біота біота noun:inanim:f:v_naz
біпер біпер noun:inanim:m:v_naz
біржа біржа noun:inanim:f:v_naz
бісер бісер noun:inanim:m:v_naz
бісик бісик noun:anim:m:v_naz
бісів бісів adj:m:v_naz
бістр бістр noun:inanim:m:v_naz
бісус бісус noun:inanim:m:v_naz
бітер бітер noun:inanim:m:v_naz
бітум бітум noun:inanim:m:v_naz
бішар бішар noun:inanim:m:v_naz
благо благо noun:inanim:n:v_naz
бланк бланк noun:inanim:m:v_naz
бланш бланш noninfl:foreign
близь близь noun:inanim:f:v_naz
блиск блиск noun:inanim:m:v_naz
блись блись noninfl:&predic
блідо блідо adv:compb
блінт блінт noun:inanim:m:v_naz
блоха блоха noun:anim:f:v_naz
блуза блуза noun:inanim:f:v_naz
блюдо блюдо noun:inanim:n:v_naz
бляха бляха noun:inanim:f:v_naz
бобер бобер noun:anim:m:v_naz
бобик бобик noun:inanim:m:v_naz
бобир бобир noun:anim:m:v_naz
бодай бодай part
бодня бодня noun:inanim:f:v_naz
бодхі бодхі noun:inanim:n:v_naz:nv
бодян бодян noun:inanim:m:v_naz
боєць боєць noun:anim:m:v_naz
божба божба noun:inanim:f:v_naz
божий божий adj:m:v_naz
божок божок noun:anim:m:v_naz
бозна бозна noninfl:&predic
бозон бозон noun:inanim:m:v_naz
боїнг боїнг noun:inanim:m:v_naz
боїще боїще noun:inanim:n:v_naz
бойко бойко noun:anim:m:v_naz
бойня бойня noun:inanim:f:v_naz
бойок бойок noun:inanim:m:v_naz
бокаж бокаж noun:inanim:m:v_naz
бокал бокал noun:inanim:m:v_naz
боком боком adv
болід болід noun:inanim:m:v_naz
болюс болюс noun:inanim:m:v_naz
бомба бомба noun:inanim:f:v_naz
бомки бомки noninfl
бонги бонги noun:inanim:p:v_naz:ns
бонза бонза noun:anim:m:v_naz
бонна бонна noun:anim:f:v_naz
бонус бонус noun:inanim:m:v_naz
боран боран noun:inanim:m:v_naz
борат борат noun:inanim:m:v_naz
бордо бордо noun:inanim:n:v_naz:nv
борей борей noun:inanim:m:v_naz
борзо борзо adv
борид борид noun:inanim:m:v_naz
борть борть noun:inanim:m:v_naz
борть борть noun:inanim:f:v_naz
босий босий adj:m:v_naz
босяк босяк noun:anim:m:v_naz
ботик ботик noun:inanim:m:v_naz
бофон бофон noun:inanim:m:v_naz
боцян боцян noun:anim:m:v_naz
бочка бочка noun:inanim:f:v_naz
бочок бочок noun:inanim:m:v_naz
браво браво adv
брага брага noun:inanim:f:v_naz
брадж брадж noun:inanim:f:v_naz:nv
брама брама noun:inanim:f:v_naz
бранч бранч noun:inanim:m:v_naz
брань брань noun:inanim:f:v_naz
брати брати verb:imperf:inf
бреве бреве noun:inanim:n:v_naz:nv
брейк брейк noun:inanim:m:v_naz
бренд бренд noun:inanim:m:v_naz
брень брень onomat
бридж бридж noun:inanim:m:v_naz
брижа брижа noun:inanim:f:v_naz
брила брила noun:inanim:f:v_naz
бриль бриль noun:inanim:m:v_naz
брити брити verb:imperf:inf
бритт бритт noun:anim:m:v_naz
бриця бриця noun:inanim:f:v_naz
бріар бріар noun:anim:m:v_naz
бріош бріош noun:inanim:m:v_naz
брова брова noun:inanim:f:v_naz
броги броги noun:inanim:p:v_naz:ns
бронх бронх noun:inanim:m:v_naz
бронь бронь noun:inanim:f:v_naz
броня броня noun:inanim:f:v_naz
брухт брухт noun:inanim:m:v_naz
брязк брязк noun:inanim:m:v_naz
брязь брязь onomat
бубка бубка noun:inanim:f:v_naz
бубон бубон noun:inanim:m:v_naz:xp1
бубон бубон noun:inanim:m:v_naz:xp2
бугай бугай noun:anim:m:v_naz
будда будда noun:anim:m:v_naz
будка будка noun:inanim:f:v_naz
будяк будяк noun:inanim:m:v_naz
бузок бузок noun:inanim:m:v_naz
буйно буйно adv:compb
буйок буйок noun:inanim:m:v_naz
буква буква noun:inanim:f:v_naz
букер букер noun:inanim:m:v_naz
букет букет noun:inanim:m:v_naz
букле букле noninfl
букле букле noun:inanim:n:v_naz:nv
букля букля noun:inanim:f:v_naz
букса букса noun:inanim:f:v_naz
булат булат noun:inanim:m:v_naz:xp1
булат булат noun:inanim:m:v_naz:xp2
булів булів adj:m:v_naz
буліт буліт noun:inanim:m:v_naz
булка булка noun:inanim:f:v_naz
булла булла noun:inanim:f:v_naz
бульк бульк onomat:&predic
бундз бундз noun:inanim:m:v_naz
бурав бурав noun:inanim:m:v_naz
буран буран noun:inanim:m:v_naz
бурат бурат noun:inanim:m:v_naz
бурда бурда noun:inanim:f:v_naz
бурий бурий adj:m:v_naz
бурка бурка noun:inanim:f:v_naz
бурса бурса noun:inanim:f:v_naz
бурун бурун noun:inanim:m:v_naz
буряк буряк noun:inanim:m:v_naz
бурят бурят noun:anim:m:v_naz
бусел бусел noun:anim:m:v_naz
бусол бусол noun:inanim:m:v_naz
бутан бутан noun:inanim:m:v_naz
бутик бутик noun:inanim:m:v_naz
бутил бутил noun:inanim:m:v_naz
бутин бутин noun:inanim:m:v_naz
бутит бутит noun:inanim:m:v_naz
бутон бутон noun:inanim:m:v_naz
буття буття noun:inanim:n:v_naz
бутут бутут noun:inanim:m:v_naz
буфер буфер noun:inanim:m:v_naz
буфет буфет noun:inanim:m:v_naz:xp1
буфет буфет noun:inanim:m:v_naz:xp2
буфон буфон noun:anim:m:v_naz
бухан бухан noun:inanim:m:v_naz
бухід бухід noun:inanim:m:v_naz:nv
бухта бухта noun:inanim:f:v_naz
буцім буцім conj:subord
буцім буцім part
бучно бучно adv:compb
буяти буяти verb:imperf:inf
буяхи буяхи noun:inanim:p:v_naz:ns
бювар бювар noun:inanim:m:v_naz
бювет бювет noun:inanim:m:v_naz
бюкса бюкса noun:inanim:f:v_naz
вабик вабик noun:inanim:m:v_naz
вабко вабко adv
вабно вабно adv
вавка вавка noun:inanim:f:v_naz
вагар вагар noun:anim:m:v_naz
вагон вагон noun:inanim:m:v_naz
вагри вагри noun:anim:p:v_naz:ns
вагус вагус noun:inanim:m:v_naz
вадія вадія noun:inanim:f:v_naz
вадко вадко adv:compb
важко важко adv:compb:&predic
важок важок noun:inanim:m:v_naz
важче важче adv:compc:&predic
вазон вазон noun:inanim:m:v_naz
вайда вайда noun:inanim:f:v_naz
вайло вайло noun:anim:m:v_naz
вайло вайло noun:anim:n:v_naz
вакар вакар noun:anim:m:v_naz
вакат вакат noun:inanim:m:v_naz
вакса вакса noun:inanim:f:v_naz
вакуф вакуф noun:inanim:m:v_naz
валер валер noun:inanim:m:v_naz
валет валет noun:inanim:m:v_naz
валик валик noun:inanim:m:v_naz:xp1
валик валик noun:inanim:m:v_naz:xp2
валіа валіа noun:inanim:f:v_naz:nv
валін валін noun:inanim:m:v_naz
валка валка noun:inanim:f:v_naz
валок валок noun:inanim:m:v_naz
валом валом adv
валун валун noun:inanim:m:v_naz
валух валух noun:inanim:m:v_naz
вальс вальс noun:inanim:m:v_naz
валюш валюш noun:anim:m:v_naz
вамбі вамбі noun:inanim:m:v_naz:nv
ванна ванна noun:inanim:f:v_naz:xp1
ванна ванна noun:inanim:f:v_naz:xp2
ванта ванта noun:inanim:f:v_naz
вапно вапно noun:inanim:n:v_naz
варай варай noun:inanim:f:v_naz:nv
варан варан noun:anim:m:v_naz
варга варга noun:inanim:f:v_naz
варка варка noun:inanim:f:v_naz
варна варна noun:inanim:f:v_naz
варта варта noun:inanim:f:v_naz
варто варто noninfl:&predic
варус варус noun:inanim:m:v_naz
варяг варяг noun:anim:m:v_naz
васаг васаг noun:inanim:m:v_naz
васал васал noun:anim:m:v_naz
ватаг ватаг noun:anim:m:v_naz
ватер ватер noun:inanim:m:v_naz
ватин ватин noun:inanim:m:v_naz
ватка ватка noun:inanim:f:v_naz
ватра ватра noun:inanim:f:v_naz
вафля вафля noun:inanim:f:v_naz
вахня вахня noun:anim:f:v_naz
вахта вахта noun:inanim:f:v_naz
вбити вбити verb:perf:inf
вбого вбого adv:compb
вбрід вбрід adv
вбути вбути verb:perf:inf
вверх вверх adv
ввесь ввесь adj:m:v_naz:&pron:gen
ввити ввити verb:perf:inf
вволю вволю adv
вглиб вглиб adv
вглиб вглиб prep
вгорі вгорі adv
вгорі вгорі prep
вгору вгору adv
вдало вдало adv:compb
вдати вдати verb:perf:inf
вдача вдача noun:inanim:f:v_naz
вдвоє вдвоє adv
вдвох вдвох adv
вдень вдень adv
вдіти вдіти verb:perf:inf
вдова вдова noun:anim:f:v_naz
вдовж вдовж adv
вдовж вдовж prep
вдома вдома adv
вдути вдути verb:perf:inf
вебер вебер noun:inanim:m:v_naz
веган веган noun:anim:m:v_naz
вежка вежка noun:inanim:f:v_naz
везир везир noun:anim:m:v_naz
везір везір noun:anim:m:v_naz
везти везти verb:imperf:inf
векша векша noun:inanim:f:v_naz
велет велет noun:anim:m:v_naz
велич велич noun:inanim:f:v_naz
велум велум noun:inanim:m:v_naz
вельд вельд noun:inanim:m:v_naz
велюр велюр noun:inanim:m:v_naz
венда венда noun:inanim:f:v_naz:nv
венед венед noun:anim:m:v_naz
венет венет noun:anim:m:v_naz
вента вента noun:inanim:f:v_naz
вепер вепер noun:anim:m:v_naz
верба верба noun:inanim:f:v_naz
верва верва noun:inanim:f:v_naz
веред веред noun:inanim:m:v_naz
верес верес noun:inanim:m:v_naz
верея верея noun:inanim:f:v_naz
верже верже noun:inanim:n:v_naz:nv
верло верло noun:inanim:n:v_naz
верть верть noninfl:&predic
верхи верхи adv
верша верша noun:inanim:f:v_naz
весло весло noun:inanim:n:v_naz
весна весна noun:inanim:f:v_naz
вести вести verb:imperf:inf
вечір вечір noun:inanim:m:v_naz
вжити вжити verb:perf:inf
взвод взвод noun:inanim:m:v_naz
взути взути verb:perf:inf
взяти взяти verb:perf:inf
вибіг вибіг noun:inanim:m:v_naz
вибій вибій noun:inanim:m:v_naz
вибіл вибіл noun:inanim:m:v_naz
вибір вибір noun:inanim:m:v_naz
вибух вибух noun:inanim:m:v_naz
вивар вивар noun:inanim:m:v_naz
вивих вивих noun:inanim:m:v_naz
вивід вивід noun:inanim:m:v_naz:xp1
вивід вивід noun:inanim:m:v_naz:xp2
вивіз вивіз noun:inanim:m:v_naz
вигад вигад noun:inanim:m:v_naz
вигар вигар noun:inanim:m:v_naz
вигин вигин noun:inanim:m:v_naz
вигін вигін noun:inanim:m:v_naz
вигук вигук noun:inanim:m:v_naz
вигул вигул noun:inanim:m:v_naz
видих видих noun:inanim:m:v_naz
виділ виділ noun:inanim:m:v_naz
видма видма noun:inanim:f:v_naz
видно видно adv:compb:&insert
видра видра noun:anim:f:v_naz
вижга вижга noun:inanim:f:v_naz
вижим вижим noun:inanim:m:v_naz
вижин вижин noun:inanim:m:v_naz
виїзд виїзд noun:inanim:m:v_naz
вийна вийна noun:anim:f:v_naz
вийти вийти verb:perf:inf
виказ виказ noun:inanim:m:v_naz
викид викид noun:inanim:m:v_naz
викоп викоп noun:inanim:m:v_naz
викос викос noun:inanim:m:v_naz
викот викот noun:inanim:m:v_naz
викуп викуп noun:inanim:m:v_naz
вилаз вилаз noun:inanim:m:v_naz
вилив вилив noun:inanim:m:v_naz
вилім вилім noun:inanim:m:v_naz
виліт виліт noun:inanim:m:v_naz
вилка вилка noun:inanim:f:v_naz:xp1
вилка вилка noun:inanim:p:v_naz:ns:xp2
вилки вилки noun:inanim:p:v_naz:ns
вилов вилов noun:inanim:m:v_naz
вилом вилом noun:inanim:m:v_naz
вимах вимах noun:inanim:m:v_naz
вимін вимін noun:inanim:m:v_naz
вимір вимір noun:inanim:m:v_naz
винар винар noun:anim:m:v_naz
винен винний adj:m:v_naz:short
винна винний noun:anim:f:v_naz
винно винно adv
винос винос noun:inanim:m:v_naz
винце винце noun:inanim:n:v_naz
випад випад noun:inanim:m:v_naz
випал випал noun:inanim:m:v_naz
випар випар noun:inanim:m:v_naz
випас випас noun:inanim:m:v_naz
випин випин noun:inanim:m:v_naz
випис випис noun:inanim:m:v_naz
випіт випіт noun:inanim:m:v_naz
вираз вираз noun:inanim:m:v_naz
вирва вирва noun:inanim:f:v_naz
виріб виріб noun:inanim:m:v_naz
вирід вирід noun:inanim:m:v_naz
виріз виріз noun:inanim:m:v_naz
вирій вирій noun:inanim:m:v_naz
вирла вирла noun:inanim:p:v_naz:ns
вирок вирок noun:inanim:m:v_naz:xp1
вирок вирок noun:inanim:m:v_naz:xp2
вируб вируб noun:inanim:m:v_naz
виряд виряд noun:inanim:m:v_naz
висад висад noun:inanim:m:v_naz
висип висип noun:inanim:m:v_naz
висів висів noun:inanim:m:v_naz
висок висок noun:inanim:m:v_naz
витий витий adj:m:v_naz:&adjp:pasv:imperf
витин витин noun:inanim:m:v_naz
витік витік noun:inanim:m:v_naz
виток виток noun:inanim:m:v_naz
витоп витоп noun:inanim:m:v_naz
виття виття noun:inanim:n:v_naz
витяг витяг noun:inanim:m:v_naz
вихід вихід noun:inanim:m:v_naz
вихор вихор noun:inanim:m:v_naz:xp1
вихор вихор noun:inanim:m:v_naz:xp2
вишка вишка noun:inanim:f:v_naz
вишня вишня noun:inanim:f:v_naz
вищий вищий adj:m:v_naz:compc
вищип вищип noun:inanim:m:v_naz
вищир вищир noun:inanim:m:v_naz
вівця вівця noun:anim:f:v_naz
відео відео noun:inanim:n:v_naz:nv
відро відро noun:inanim:n:v_naz
відси відси adv
відун відун noun:anim:m:v_naz
віжка віжка noun:inanim:f:v_naz
візаж візаж noun:inanim:m:v_naz
візир візир noun:anim:m:v_naz
візир візир noun:inanim:m:v_naz
візит візит noun:inanim:m:v_naz
візія візія noun:inanim:f:v_naz
візок візок noun:inanim:m:v_naz
війка війка noun:inanim:f:v_naz
війна війна noun:inanim:f:v_naz
війце війце noun:inanim:n:v_naz
вікно вікно noun:inanim:n:v_naz
віліс віліс noun:inanim:m:v_naz
вілла вілла noun:inanim:f:v_naz
віник віник noun:inanim:m:v_naz
вініл вініл noun:inanim:m:v_naz
вінок вінок noun:inanim:m:v_naz
вінол вінол noun:inanim:m:v_naz
вінце вінце noun:inanim:n:v_naz
вінця вінця noun:inanim:p:v_naz:ns
віола віола noun:inanim:f:v_naz
віраж віраж noun:inanim:m:v_naz
вірля вірля noun:anim:n:v_naz
вірні вірні noun:anim:p:v_naz:ns
вірно вірно adv:compb
віроз віроз noun:inanim:m:v_naz
вірус вірус noun:inanim:m:v_naz
вісім вісім numr:p:v_naz
віскі віскі noun:inanim:m:v_naz:nv
віспа віспа noun:inanim:f:v_naz
